,tns_name,previous_name,repeater_name,ra,dec,gb,bonsai_dm,low_ft_68,up_ft_68,low_ft_95,up_ft_95,dm_fitb,dm_exc_ne2001,dm_exc_ymw16,bc_width,scat_time,flux,fluence,sub_num,width_fitb,sp_idx,sp_run,high_freq,low_freq,peak_freq,chi_sq,dof,previous_rp_name,redshift,fre_width,fre_width_ob,in_duration,energy,luminosity,T_B,log_dm_fitb,log_dm_exc_ne2001,log_bc_width,log_scat_time,log_flux,log_fluence,log_width_fitb,log_high_freq,log_low_freq,log_peak_freq,log_fre_width,log_redshift,log_in_duration,log_energy,log_luminosity,log_T_B
10,FRB20180814B,180814.J1554+74,non-repeater,238.26,74.02,37.62,237.8,2.4,0.3,3.9,0.5,238.3474,197.2,203.8,5.8999999999999995,0.00088,3.4,10.6,0,0.000764,0.3,1.2,800.2,400.2,800.2,366744.692,363573,-9999,0.12546225908680203,450.18490363472085,400.00000000000006,0.6788321810274724,3.345195741885261e+39,1.2076067257499154e+42,5.518510936979544e+27,2.377210418810526,2.2949069106051923,0.7708520116421441,-3.0555173278498313,0.5314789170422551,1.0253058652647702,-3.11690664142431,2.903198547042978,2.6022770843001926,2.903198547042978,2.653390927408028,-0.9014868967755757,-0.1682375775043755,39.5244215352977,42.08192552315525,27.741821907603516
11,FRB20180814B,180814.J1554+74,non-repeater,238.26,74.02,37.62,237.8,2.4,0.3,3.9,0.5,238.3474,197.2,203.8,5.8999999999999995,0.00088,3.4,10.6,1,0.00083,0.1,0.2,800.2,400.2,800.2,366744.692,363573,-9999,0.12546225908680203,450.18490363472085,400.00000000000006,0.7374747516397933,3.345195741885261e+39,1.2076067257499154e+42,5.518510936979544e+27,2.377210418810526,2.2949069106051923,0.7708520116421441,-3.0555173278498313,0.5314789170422551,1.0253058652647702,-3.0809219076239263,2.903198547042978,2.6022770843001926,2.903198547042978,2.653390927408028,-0.9014868967755757,-0.1322528437039916,39.5244215352977,42.08192552315525,27.741821907603516
12,FRB20180814A,180814.J0422+73,repeater,65.54,73.63,16.58,190.9,43.8,6.9,155.9,25.6,189.286,101.5,80.9,7.86,0.0031,0.39,2.6,0,0.00254,42.5,-143.0,527.0,408.9,464.2,377384.635,376346,FRB20180814A,0.002248222001635545,118.36551501839318,118.10000000000002,2.534302325752447,1.4457828377434476e+35,2.173549917793274e+37,3.2192952491360875e+23,2.2771184937969156,2.0064660422492318,0.895422546039408,-2.5086383061657274,-0.4089353929735008,0.414973347970818,-2.595166283380062,2.7218106152125467,2.6116171105543358,2.666705136119899,2.0732251920940055,-2.6481608063926076,0.40385842213944756,35.160103065121454,37.337169618657626,23.507760808680178
13,FRB20180817A,180817.J1533+42,non-repeater,233.2,42.2,53.98,1002.8,0.0,6.2,0.0,11.1,1006.7714,979.1,982.0,17.69,0.01103,2.4,29.0,0,0.00189,3.35,-7.46,800.2,400.2,501.1,1069085.403,1057913,-9999,1.0140001966958603,805.6000786783442,400.00000000000006,0.9384308914669952,4.134042096510323e+41,6.890450975603385e+43,7.970512540043537e+28,3.002930869770044,2.990827050567479,1.2477278329097232,-1.9574244875598095,0.38021124171160603,1.462397997898956,-2.7235381958267557,2.903198547042978,2.6022770843001926,2.699924402742477,2.9061194999606177,0.00603803924181268,-0.027597704459410982,41.616374894688235,43.83824764713354,28.901486249395564
14,FRB20180904A,-9999,non-repeater,286.58,81.22,26.22,360.7,1.0,1.8,2.2,3.7,361.13741,305.7,308.4,1.97,0.00055,3.8,6.0,0,0.0005275,12.12,-23.18,712.3,400.2,519.7,155378.697,143482,-9999,0.25663590133767455,392.19606480748814,312.09999999999997,0.4197715499282507,5.3677956949673053e+39,4.2720643615164264e+42,5.724857831377425e+29,2.557672479052783,2.4852954387260886,0.2944662261615929,-3.2596373105057563,0.5797835966168101,0.7781512503836436,-3.27777753603027,2.8526629443445692,2.6022770843001926,2.7157527168228595,2.593503231756632,-0.5906825893398411,-0.3769869991215696,39.72979597768313,42.63063778700759,29.757764706066087
15,FRB20180906A,-9999,non-repeater,141.48,14.29,40.61,383.3,0.0,3.3,0.0,6.4,383.456,340.0,346.5,0.98,0.0017,1.6,2.7,0,0.00135,-0.2,1.4,800.2,400.2,800.2,320313.543,304602,-9999,0.29684492371984383,518.7379694879376,400.00000000000006,1.0409879973371738,5.0264422098774625e+39,3.86282433437081e+42,5.5525963678344146e+29,2.5837155376370236,2.531478917042255,-0.00877392430750515,-2.769551078621726,0.2041199826559248,0.43136376415898736,-2.869666231504994,2.903198547042978,2.6022770843001926,2.903198547042978,2.7149480377286523,-0.5274703734494284,0.0174457220943164,39.701260693739535,42.58690495863716,29.7444961046641
16,FRB20180906B,-9999,non-repeater,185.75,56.42,60.27,3037.7,0.0,1.7,0.0,3.5,3038.058,3006.7,3015.4,5.8999999999999995,0.0048,0.36,1.5,0,0.0029,2.6,-11.1,709.1,400.2,449.3,350696.512,350201,-9999,3.6497163154208123,1436.2973698334893,308.90000000000003,0.6236939639483234,1.8756695954149584e+41,2.0931195648335252e+44,1.3079203172049148e+30,3.4825960607840107,3.4780900975902895,0.7708520116421441,-2.318758762624413,-0.44369749923271273,0.17609125905568124,-2.537602002101044,2.8507074853745373,2.6022770843001926,2.6525364185930256,3.157244365190193,0.5622591089947333,-0.20502845898978633,41.27315633856028,44.320794037160624,30.116581286150073
17,FRB20180907D,-9999,non-repeater,328.95,89.22,26.57,1444.4,5.1,3.5,10.2,6.8,1447.098,1391.1,1393.4,5.8999999999999995,0.0027,0.89,4.9,0,0.00222,2.8,-0.1,800.2,400.2,800.2,339735.417,347770,-9999,1.4875887176933809,995.0354870773525,400.00000000000006,0.8924304826637489,2.3200745248736934e+41,1.0482730977413123e+44,2.167320718070826e+29,3.160497943294605,3.143358350615467,0.7708520116421441,-2.5686362358410126,-0.05060999335508721,0.6901960800285137,-2.653647025549361,2.903198547042978,2.6022770843001926,2.903198547042978,2.997838569757831,0.17248287588343356,-0.04942560397922968,41.36550193541744,44.02047444046371,29.335923182562173
18,FRB20180907A,-9999,non-repeater,320.87,29.46,-14.65,875.1,0.0,1.3,0.0,3.4,877.24,785.2,801.8,5.8999999999999995,0.000264,0.87,2.8,0,0.00087,-2.3,-5.1,648.6,400.2,400.2,343339.826,342297,-9999,0.7974013661559739,446.4744993531439,248.40000000000003,0.4840321234764788,1.9797617909577454e+40,1.1056539630449424e+43,2.5290992234032003e+29,2.9431184262239243,2.8949802909279687,0.7708520116421441,-3.5783960731301687,-0.060480747381381476,0.4471580313422192,-3.0604807473813813,2.811976944336954,2.6022770843001926,2.6022770843001926,2.6497966589547333,-0.09832302461356338,-0.31512581483157204,40.29661293819276,43.04361922691935,29.402965868225845
19,FRB20180907B,-9999,non-repeater,4.49,19.17,-43.0,658.3,0.0,2.0,0.0,3.8,658.1899,620.1,628.3,2.9499999999999997,0.00113,1.08,2.9,0,0.00021,-0.7,-4.6,751.4,400.2,400.2,316182.424,315545,-9999,0.6139273923205373,566.8113001829727,351.2,0.13011737764612682,1.207976277374463e+40,7.260527184807863e+42,7.398366868837646e+29,2.8183512137105247,2.792461731346951,0.469822015978163,-2.9469215565165805,0.03342375548694973,0.4623979978989561,-3.677780705266081,2.875871190727366,2.6022770843001926,2.6022770843001926,2.753438499934966,-0.2118829887597001,-0.8856646979669819,40.08205840555454,42.86096815584344,29.86913586322719
