tns_name,repeater,PCA_K-means,UMAP_HDBSCAN,T-SNE_HDBSCAN
FRB20190614A,non-repeater,-1,1.0,1.0
FRB20190614B,non-repeater,-1,-1.0,-1.0
FRB20190614C,non-repeater,-1,-1.0,-1.0
FRB20190616A,non-repeater,1,-1.0,-1.0
FRB20190617A,non-repeater,1,1.0,1.0
FRB20190617B,non-repeater,1,1.0,1.0
FRB20190617C,non-repeater,-1,0.0,0.0
FRB20190618A,non-repeater,1,1.0,1.0
FRB20190619A,non-repeater,-1,-1.0,-1.0
FRB20190619B,non-repeater,-1,-1.0,-1.0
FRB20190619C,non-repeater,-1,0.0,0.0
FRB20190619D,non-repeater,1,-1.0,-1.0
FRB20190621A,repeater,1,1.0,1.0
FRB20190621B,non-repeater,-1,-1.0,-1.0
FRB20190621C,non-repeater,-1,1.0,1.0
FRB20190621D,non-repeater,-1,-1.0,-1.0
FRB20190622A,non-repeater,-1,-1.0,-1.0
FRB20190623A,non-repeater,-1,-1.0,-1.0
FRB20190623B,non-repeater,-1,-1.0,-1.0
FRB20190623C,non-repeater,-1,-1.0,-1.0
FRB20190624A,non-repeater,-1,-1.0,-1.0
FRB20190624B,non-repeater,-1,1.0,1.0
FRB20190625A,non-repeater,1,1.0,1.0
FRB20190625E,repeater,1,1.0,1.0
FRB20190625E,repeater,1,1.0,1.0
FRB20190625E,repeater,1,1.0,1.0
FRB20190625C,non-repeater,-1,-1.0,-1.0
FRB20190625D,non-repeater,-1,1.0,1.0
FRB20190626A,repeater,1,1.0,1.0
FRB20190627A,non-repeater,-1,0.0,0.0
FRB20190627B,non-repeater,-1,0.0,0.0
FRB20190627C,non-repeater,-1,-1.0,-1.0
FRB20190627D,non-repeater,-1,-1.0,-1.0
FRB20190628A,non-repeater,-1,-1.0,-1.0
FRB20190628B,non-repeater,-1,1.0,1.0
FRB20190628C,non-repeater,-1,-1.0,-1.0
FRB20190629A,non-repeater,-1,0.0,0.0
FRB20190630B,non-repeater,-1,0.0,0.0
FRB20190630A,repeater,1,1.0,1.0
FRB20190630C,non-repeater,-1,-1.0,-1.0
FRB20190630D,non-repeater,-1,-1.0,-1.0
FRB20190701A,non-repeater,-1,0.0,0.0
FRB20190701B,non-repeater,-1,0.0,0.0
FRB20190701C,non-repeater,-1,1.0,1.0
FRB20190701D,non-repeater,-1,0.0,0.0
FRB20190701E,non-repeater,-1,-1.0,-1.0
