tns_name,repeater,PCA_K-means,UMAP_HDBSCAN,T-SNE_HDBSCAN
FRB20181129B,non-repeater,-1,1.0,1.0
FRB20181129C,non-repeater,-1,0.0,0.0
FRB20181130A,non-repeater,1,1.0,1.0
FRB20181201A,non-repeater,1,-1.0,-1.0
FRB20181201B,non-repeater,-1,-1.0,-1.0
FRB20181202A,non-repeater,-1,-1.0,-1.0
FRB20181202B,non-repeater,-1,-1.0,-1.0
FRB20181202C,non-repeater,-1,0.0,0.0
FRB20181203A,non-repeater,-1,0.0,0.0
FRB20181203B,non-repeater,-1,1.0,1.0
FRB20181203C,non-repeater,-1,-1.0,-1.0
FRB20181208A,non-repeater,-1,-1.0,-1.0
FRB20181209A,non-repeater,-1,1.0,1.0
FRB20181213A,non-repeater,-1,-1.0,-1.0
FRB20181213B,non-repeater,-1,0.0,0.0
FRB20181213C,non-repeater,-1,-1.0,-1.0
FRB20181214A,non-repeater,1,1.0,1.0
FRB20181214B,non-repeater,-1,-1.0,-1.0
FRB20181214C,non-repeater,-1,-1.0,-1.0
FRB20181214D,non-repeater,-1,-1.0,-1.0
FRB20181214F,non-repeater,-1,-1.0,-1.0
FRB20181215A,non-repeater,1,-1.0,-1.0
FRB20181215B,non-repeater,-1,0.0,0.0
FRB20181216A,non-repeater,-1,0.0,0.0
FRB20181217A,non-repeater,-1,-1.0,-1.0
FRB20181218A,non-repeater,-1,-1.0,-1.0
FRB20181218B,non-repeater,-1,-1.0,-1.0
FRB20181218C,non-repeater,1,-1.0,-1.0
FRB20181219B,non-repeater,-1,-1.0,-1.0
FRB20181219C,non-repeater,-1,-1.0,-1.0
FRB20181219A,repeater,1,0.0,0.0
FRB20181220A,non-repeater,1,1.0,1.0
FRB20181220B,non-repeater,-1,-1.0,-1.0
FRB20181221A,non-repeater,1,1.0,1.0
FRB20181221B,non-repeater,-1,0.0,0.0
FRB20181222A,repeater,1,1.0,1.0
FRB20181222A,repeater,1,1.0,1.0
FRB20181222A,repeater,1,1.0,1.0
FRB20181222A,repeater,1,1.0,1.0
FRB20181222B,non-repeater,-1,-1.0,-1.0
FRB20181222C,non-repeater,-1,-1.0,-1.0
FRB20181222D,non-repeater,-1,-1.0,-1.0
FRB20181222E,non-repeater,-1,0.0,0.0
FRB20181222E,non-repeater,-1,0.0,0.0
FRB20181223A,repeater,1,1.0,1.0
FRB20181223A,repeater,1,1.0,1.0
FRB20181223B,non-repeater,-1,0.0,0.0
FRB20181223C,non-repeater,1,-1.0,-1.0
FRB20181224A,non-repeater,-1,0.0,0.0
FRB20181224B,non-repeater,-1,-1.0,-1.0
FRB20181224C,non-repeater,1,-1.0,-1.0
FRB20181224D,non-repeater,-1,-1.0,-1.0
FRB20181224E,non-repeater,-1,-1.0,-1.0
FRB20181224E,non-repeater,-1,-1.0,-1.0
FRB20181225A,repeater,1,1.0,1.0
FRB20181225B,non-repeater,-1,0.0,0.0
FRB20181226C,non-repeater,-1,-1.0,-1.0
FRB20181226A,repeater,1,1.0,1.0
FRB20181226A,repeater,1,1.0,1.0
FRB20181226D,non-repeater,-1,-1.0,-1.0
FRB20181226B,non-repeater,-1,0.0,0.0
FRB20181226B,non-repeater,-1,-1.0,-1.0
FRB20181226B,non-repeater,-1,0.0,0.0
FRB20181226E,non-repeater,1,1.0,1.0
FRB20181227A,non-repeater,-1,-1.0,-1.0
FRB20181228A,non-repeater,-1,0.0,0.0
FRB20181228B,non-repeater,-1,1.0,1.0
FRB20181228C,non-repeater,-1,-1.0,-1.0
FRB20181229A,non-repeater,-1,-1.0,-1.0
FRB20181229B,non-repeater,1,1.0,1.0
FRB20181230A,non-repeater,-1,0.0,0.0
FRB20181230B,non-repeater,-1,-1.0,-1.0
FRB20181230C,non-repeater,-1,-1.0,-1.0
FRB20181230D,non-repeater,-1,0.0,0.0
FRB20181230E,non-repeater,-1,-1.0,-1.0
FRB20181231A,non-repeater,-1,-1.0,-1.0
FRB20181231B,non-repeater,1,1.0,1.0
FRB20181231C,non-repeater,-1,-1.0,-1.0
FRB20190101A,non-repeater,-1,-1.0,-1.0
FRB20190101B,non-repeater,-1,0.0,0.0
FRB20190102A,non-repeater,-1,0.0,0.0
FRB20190102B,non-repeater,-1,-1.0,-1.0
FRB20190103B,non-repeater,1,0.0,0.0
FRB20190103C,non-repeater,-1,-1.0,-1.0
FRB20190103A,repeater,1,1.0,0.0
FRB20190103D,non-repeater,-1,-1.0,-1.0
FRB20190103E,non-repeater,-1,-1.0,-1.0
FRB20190104A,non-repeater,-1,0.0,0.0
FRB20190104A,non-repeater,-1,-1.0,-1.0
FRB20190104B,non-repeater,-1,0.0,0.0
FRB20190105A,non-repeater,1,0.0,0.0
FRB20190106A,non-repeater,1,0.0,0.0
FRB20190106B,non-repeater,1,1.0,1.0
FRB20190107A,non-repeater,1,-1.0,-1.0
FRB20190107B,non-repeater,1,-1.0,-1.0
FRB20190109A,non-repeater,1,0.0,0.0
FRB20190109A,non-repeater,1,0.0,0.0
FRB20190109B,non-repeater,1,1.0,1.0
FRB20190110A,non-repeater,-1,1.0,1.0
FRB20190110B,non-repeater,-1,-1.0,-1.0
FRB20190110C,non-repeater,1,1.0,1.0
FRB20190111A,non-repeater,1,0.0,0.0
FRB20190111A,non-repeater,1,0.0,0.0
FRB20190111A,non-repeater,1,1.0,1.0
FRB20190111B,non-repeater,-1,-1.0,-1.0
FRB20190112A,non-repeater,1,1.0,1.0
FRB20190113A,non-repeater,1,0.0,0.0
FRB20190114A,non-repeater,-1,1.0,1.0
FRB20190115A,non-repeater,-1,-1.0,-1.0
FRB20190115B,non-repeater,-1,-1.0,-1.0
FRB20190116E,non-repeater,-1,-1.0,-1.0
FRB20190116D,non-repeater,-1,-1.0,-1.0
FRB20190116A,repeater,1,0.0,0.0
FRB20190116B,repeater,1,0.0,0.0
FRB20190116C,non-repeater,-1,0.0,0.0
FRB20190116F,non-repeater,-1,0.0,0.0
FRB20190117C,non-repeater,-1,-1.0,-1.0
FRB20190117D,non-repeater,-1,-1.0,-1.0
FRB20190117A,repeater,-1,1.0,1.0
FRB20190118B,non-repeater,1,-1.0,-1.0
FRB20190118A,non-repeater,-1,1.0,1.0
FRB20190121A,non-repeater,-1,0.0,0.0
FRB20190122B,non-repeater,-1,0.0,0.0
FRB20190122C,non-repeater,-1,-1.0,-1.0
FRB20190122C,non-repeater,-1,-1.0,-1.0
FRB20190122C,non-repeater,-1,0.0,0.0
FRB20190122C,non-repeater,-1,-1.0,-1.0
FRB20190122C,non-repeater,-1,-1.0,-1.0
FRB20190122C,non-repeater,-1,-1.0,-1.0
FRB20190122A,non-repeater,-1,-1.0,-1.0
FRB20190124A,non-repeater,-1,-1.0,-1.0
FRB20190124B,non-repeater,-1,-1.0,-1.0
FRB20190124C,non-repeater,-1,-1.0,-1.0
FRB20190124C,non-repeater,1,-1.0,-1.0
FRB20190124D,non-repeater,-1,1.0,1.0
FRB20190124E,non-repeater,1,0.0,0.0
FRB20190124F,non-repeater,-1,1.0,1.0
FRB20190125A,non-repeater,1,0.0,0.0
FRB20190125B,non-repeater,1,0.0,0.0
FRB20190126A,repeater,1,1.0,1.0
FRB20190127B,non-repeater,1,-1.0,-1.0
FRB20190128A,non-repeater,-1,-1.0,-1.0
FRB20190128B,non-repeater,-1,0.0,0.0
FRB20190128C,non-repeater,1,0.0,0.0
FRB20190128D,non-repeater,1,-1.0,-1.0
FRB20190129A,non-repeater,1,1.0,1.0
FRB20190130A,non-repeater,-1,-1.0,-1.0
FRB20190130B,non-repeater,-1,0.0,0.0
FRB20190131E,non-repeater,-1,1.0,1.0
FRB20190131D,non-repeater,-1,-1.0,-1.0
FRB20190131D,non-repeater,-1,-1.0,-1.0
FRB20190131C,non-repeater,-1,0.0,0.0
FRB20190131B,non-repeater,-1,-1.0,-1.0
FRB20190201B,non-repeater,-1,-1.0,-1.0
FRB20190201A,non-repeater,-1,0.0,0.0
FRB20190202B,non-repeater,-1,0.0,0.0
FRB20190202A,non-repeater,-1,0.0,0.0
FRB20190203B,non-repeater,-1,-1.0,-1.0
FRB20190203A,non-repeater,-1,1.0,1.0
FRB20190203C,non-repeater,-1,0.0,0.0
FRB20190204A,non-repeater,1,1.0,1.0
FRB20190204B,non-repeater,-1,-1.0,-1.0
FRB20190205A,non-repeater,-1,0.0,0.0
FRB20190206C,non-repeater,-1,-1.0,-1.0
FRB20190206B,non-repeater,1,0.0,0.0
FRB20190206A,non-repeater,1,1.0,1.0
FRB20190208B,non-repeater,-1,-1.0,-1.0
FRB20190208C,non-repeater,-1,1.0,1.0
FRB20190208A,repeater,1,1.0,1.0
FRB20190208A,repeater,1,1.0,1.0
FRB20190208A,repeater,1,1.0,1.0
FRB20190208A,repeater,1,1.0,1.0
FRB20190209A,repeater,1,1.0,1.0
FRB20190210B,non-repeater,-1,-1.0,-1.0
FRB20190210C,non-repeater,-1,-1.0,-1.0
FRB20190210A,repeater,1,1.0,1.0
FRB20190210D,non-repeater,-1,0.0,0.0
FRB20190210E,non-repeater,-1,0.0,0.0
FRB20190211A,non-repeater,-1,-1.0,-1.0
FRB20190211B,non-repeater,-1,-1.0,-1.0
FRB20190212B,non-repeater,-1,-1.0,-1.0
FRB20190212C,non-repeater,-1,-1.0,-1.0
FRB20190212D,non-repeater,-1,-1.0,-1.0
FRB20190212A,repeater,1,0.0,0.0
FRB20190213A,repeater,1,1.0,1.0
FRB20190213C,non-repeater,1,0.0,0.0
FRB20190213B,repeater,-1,1.0,1.0
FRB20190213B,repeater,-1,1.0,1.0
FRB20190213D,non-repeater,-1,-1.0,-1.0
FRB20190214A,non-repeater,1,0.0,0.0
FRB20190214C,non-repeater,-1,-1.0,-1.0
FRB20190215B,non-repeater,1,-1.0,-1.0
FRB20190216A,repeater,1,0.0,0.0
FRB20190217A,non-repeater,-1,-1.0,-1.0
FRB20190217B,non-repeater,-1,-1.0,-1.0
